icb_code,testing_period,cv_number,ibes,lgbm_ex_fwd,lgbm_in_fwd,len,industry_group_name
651010,2013-09-30 00:00:00,all,0.0186454475325298,0.017417456174482416,0.017193064839101064,240.0,Electricity
502050,2013-09-30 00:00:00,all,0.009537730412602745,0.009301010625664047,0.00881877928807548,260.0,Ind. Services
302020,2013-09-30 00:00:00,all,0.011327935127187844,0.01080216569603632,0.0105711772138768,350.0,Finance Services
201030,2013-09-30 00:00:00,all,0.012486120921925453,0.012189465409372529,0.012229815412663684,410.0,Pharma-Biotech
552010,2013-09-30 00:00:00,all,0.021700705997882597,0.02400361640306732,0.023183870702763027,300.0,Chem
351020,2013-09-30 00:00:00,all,0.016572389641641948,0.01492941013161293,0.016075249117764194,280.0,REIT
502060,2013-09-30 00:00:00,all,0.01199149452676381,0.010003533336885796,0.010352848457633958,310.0,Ind. Transport
502030,2013-09-30 00:00:00,all,0.022338939351166376,0.014200249517380274,0.015576721680620452,240.0,Industrials
301010,2013-09-30 00:00:00,all,0.006049801463074966,0.008069963751241945,0.009198168645647788,1260.0,Banks
101010,2013-09-30 00:00:00,all,0.012161058992749153,0.01029928241951992,0.009810053802202429,280.0,Software and Comp Serv
501010,2013-09-30 00:00:00,all,0.015900495419232642,0.014798165263070174,0.014972008486968657,300.0,Construction
201020,2013-09-30 00:00:00,all,0.011251404445074997,0.009078829276463285,0.009344261800804029,260.0,Medical
401010,2013-09-30 00:00:00,all,0.02344738465805086,0.02966962363107461,0.03011229710520589,240.0,Auto
101020,2013-09-30 00:00:00,all,0.015575154389950671,0.014765634473981472,0.016277370682560063,420.0,Tech Equip.
999999,2013-09-30 00:00:00,all,0.01686715320423498,0.015145846174826609,0.01506382529594497,3350.0,
651010,2018-09-30 00:00:00,all,0.021328933069962294,0.020903020611430966,0.020204953801010037,460.0,Electricity
502050,2018-09-30 00:00:00,all,0.019743622701490392,0.016808106431841496,0.017413677103389164,560.0,Ind. Services
302020,2018-09-30 00:00:00,all,0.01699124460570411,0.014205586912483734,0.014417676660481415,640.0,Finance Services
201030,2018-09-30 00:00:00,all,0.018476772602177834,0.014662823802253937,0.01551952488837562,800.0,Pharma-Biotech
552010,2018-09-30 00:00:00,all,0.03150893103901554,0.018980766611586392,0.020256061709628025,740.0,Chem
351020,2018-09-30 00:00:00,all,0.011340225713837492,0.010948850251698887,0.011415920307171229,560.0,REIT
502060,2018-09-30 00:00:00,all,0.021484610195849168,0.014845572376118889,0.017592815048968157,600.0,Ind. Transport
502030,2018-09-30 00:00:00,all,0.028748584986631635,0.01813705366008122,0.019641290878873882,370.0,Industrials
301010,2018-09-30 00:00:00,all,0.005272726657578413,0.00454450534404254,0.00422236200553266,4960.0,Banks
601010,2018-09-30 00:00:00,all,0.029752270655770782,0.011966270417247946,0.020210675164144272,2380.0,Energy
101010,2018-09-30 00:00:00,all,0.012910983691271218,0.011037000487068311,0.01166205526503729,560.0,Software and Comp Serv
501010,2018-09-30 00:00:00,all,0.014537845749454676,0.014976613233915028,0.01613462471387834,590.0,Construction
201020,2018-09-30 00:00:00,all,0.011479214582493088,0.007610739647240807,0.008295498041569715,420.0,Medical
101020,2018-09-30 00:00:00,all,0.023168643213819617,0.017484882467791833,0.018588854296255106,850.0,Tech Equip.
651010,2017-03-31 00:00:00,all,0.020302429002850796,0.018987154902821216,0.01969783364319518,240.0,Electricity
502050,2017-03-31 00:00:00,all,0.011561452914915966,0.014126134586329312,0.013610668308074803,280.0,Ind. Services
302020,2017-03-31 00:00:00,all,0.016173841927397115,0.01262493315119501,0.01257807947060516,350.0,Finance Services
201030,2017-03-31 00:00:00,all,0.013024203982043084,0.012101765600219931,0.012403285598920592,440.0,Pharma-Biotech
552010,2017-03-31 00:00:00,all,0.022548123552385623,0.02339297327028869,0.024177369204297642,340.0,Chem
351020,2017-03-31 00:00:00,all,0.014543664854547098,0.01071368839251706,0.011039381294614469,280.0,REIT
502060,2017-03-31 00:00:00,all,0.01778783565306296,0.0151153615585821,0.015437149105478054,290.0,Ind. Transport
502030,2017-03-31 00:00:00,all,0.019006963950881906,0.013873514900078852,0.014484831616453003,230.0,Industrials
301010,2017-03-31 00:00:00,all,0.0060900335970280476,0.005217457186991628,0.00495812246302501,2300.0,Banks
601010,2017-03-31 00:00:00,all,0.032564562671721704,0.02096410049326533,0.02081226042977799,1130.0,Energy
101010,2017-03-31 00:00:00,all,0.012728136693630198,0.012266320328354667,0.012395420185100908,260.0,Software and Comp Serv
501010,2017-03-31 00:00:00,all,0.012397147493112697,0.013267961421499101,0.012934759949029071,310.0,Construction
201020,2017-03-31 00:00:00,all,0.011743718534884342,0.012327573364151535,0.012466014201231853,270.0,Medical
401010,2017-03-31 00:00:00,all,0.027170939357078913,0.026751249700032967,0.027216529372475897,260.0,Auto
101020,2017-03-31 00:00:00,all,0.012227981235110702,0.014641153916071088,0.01445182049209674,470.0,Tech Equip.
999999,2017-03-31 00:00:00,all,0.021546435521834207,0.017689221767562886,0.01836297169595048,3560.0,
651010,2017-09-30 00:00:00,all,0.02050526741546706,0.01536908608232717,0.015775493991789142,460.0,Electricity
502050,2017-09-30 00:00:00,all,0.014083554411829966,0.012067195713452055,0.013637399770969618,540.0,Ind. Services
302020,2017-09-30 00:00:00,all,0.016354903843497505,0.010952352923874647,0.01172327053747578,780.0,Finance Services
201030,2017-09-30 00:00:00,all,0.013099075578536413,0.012512799858437465,0.012962700091626497,820.0,Pharma-Biotech
552010,2017-09-30 00:00:00,all,0.026351871000962285,0.022045784177594965,0.023395609748364455,740.0,Chem
351020,2017-09-30 00:00:00,all,0.011493255437670992,0.012207822788456803,0.012872828010867763,580.0,REIT
502060,2017-09-30 00:00:00,all,0.02031014775718996,0.018273760924931805,0.017729161269641146,560.0,Ind. Transport
502030,2017-09-30 00:00:00,all,0.018245510689366168,0.014252053635213617,0.015848448822985233,410.0,Industrials
301010,2017-09-30 00:00:00,all,0.006570204550492121,0.005700175264802981,0.005803634125581755,4600.0,Banks
601010,2017-09-30 00:00:00,all,0.016700939565149973,0.0171845816028955,0.015024602105607555,2340.0,Energy
101010,2017-09-30 00:00:00,all,0.010808138543169603,0.010397194563952468,0.011650423951772279,530.0,Software and Comp Serv
501010,2017-09-30 00:00:00,all,0.013465729326023185,0.015654779939811302,0.014775912013011653,610.0,Construction
201020,2017-09-30 00:00:00,all,0.011309659210176681,0.01083102522789247,0.010993492334963821,420.0,Medical
401010,2017-09-30 00:00:00,all,0.028834468337636338,0.022959316083424348,0.024621289460214767,560.0,Auto
101020,2017-09-30 00:00:00,all,0.01758758294726463,0.016695653304979793,0.017852423980079055,840.0,Tech Equip.
999999,2017-09-30 00:00:00,all,0.019450427217258807,0.016399642359103704,0.017489712069260307,6600.0,
651010,2013-06-30 00:00:00,all,0.012687560659974697,0.010997879910840438,0.012133429310881858,420.0,Electricity
502050,2013-06-30 00:00:00,all,0.008462696463592701,0.00823911035950426,0.008600319739602898,510.0,Ind. Services
302020,2013-06-30 00:00:00,all,0.013364720846040798,0.009694230667606612,0.011380002240528212,640.0,Finance Services
201030,2013-06-30 00:00:00,all,0.011877744318260837,0.012504902624866157,0.012371760184496053,780.0,Pharma-Biotech
552010,2013-06-30 00:00:00,all,0.024424260448485596,0.02409638653277066,0.02349689950382215,580.0,Chem
351020,2013-06-30 00:00:00,all,0.015442148948503289,0.013525704940997637,0.014065961774269099,540.0,REIT
502060,2013-06-30 00:00:00,all,0.01168261058141106,0.009486910646142717,0.009732070734116003,610.0,Ind. Transport
502030,2013-06-30 00:00:00,all,0.02337801294756668,0.01972263036399928,0.01899416152749136,400.0,Industrials
301010,2013-06-30 00:00:00,all,0.01129305038504016,0.021282763116842258,0.01909692117508205,2860.0,Banks
601010,2013-06-30 00:00:00,all,0.011262113553227395,0.018021544971702313,0.018358696163835297,1800.0,Energy
101010,2013-06-30 00:00:00,all,0.013012209383010924,0.013321886982991991,0.01278551552976379,500.0,Software and Comp Serv
501010,2013-06-30 00:00:00,all,0.01668029993980034,0.016397471737734384,0.01779726722980336,550.0,Construction
201020,2013-06-30 00:00:00,all,0.012229716443198337,0.012265929702781382,0.012387707342854465,380.0,Medical
401010,2013-06-30 00:00:00,all,0.023263074187423113,0.028229562707162634,0.03001207930156764,500.0,Auto
101020,2013-06-30 00:00:00,all,0.025681175896436582,0.01892197608511576,0.019074226255362,640.0,Tech Equip.
999999,2013-06-30 00:00:00,all,0.01706996080828941,0.01677073450549216,0.016897551831351446,6040.0,
651010,2013-03-31 00:00:00,all,0.012925622726743649,0.015086235127237673,0.015867407691650827,440.0,Electricity
502050,2013-03-31 00:00:00,all,0.007699804122312799,0.009383057752577119,0.009998382486044096,490.0,Ind. Services
302020,2013-03-31 00:00:00,all,0.009904313936852014,0.012520024596216647,0.012667345856204958,650.0,Finance Services
201030,2013-03-31 00:00:00,all,0.010852816088364586,0.011123464706788,0.011059945729832137,740.0,Pharma-Biotech
552010,2013-03-31 00:00:00,all,0.02049452250858464,0.023092672079359812,0.024010139772730924,520.0,Chem
351020,2013-03-31 00:00:00,all,0.009522612892019309,0.00955731411568024,0.010531816290510844,560.0,REIT
502060,2013-03-31 00:00:00,all,0.010001607720718151,0.010062036195248755,0.010239038929710863,620.0,Ind. Transport
502030,2013-03-31 00:00:00,all,0.018482665908167533,0.02108874216747811,0.01985852726474653,400.0,Industrials
301010,2013-03-31 00:00:00,all,0.012389860168199037,0.009769104558740593,0.00832540064614297,7120.0,Banks
601010,2013-03-31 00:00:00,all,0.010730194075245062,0.01332573760969738,0.014556848807395915,1800.0,Energy
101010,2013-03-31 00:00:00,all,0.014218587404250416,0.012912554814322831,0.012285962481793354,530.0,Software and Comp Serv
501010,2013-03-31 00:00:00,all,0.015866236005865928,0.019967371661758937,0.020326489178933253,520.0,Construction
201020,2013-03-31 00:00:00,all,0.013349476060777056,0.009708572292040111,0.010637527031789069,380.0,Medical
401010,2013-03-31 00:00:00,all,0.021429882850890862,0.030286542394237656,0.03155508545028439,500.0,Auto
101020,2013-03-31 00:00:00,all,0.01454924280571906,0.014622121721432162,0.01729387823178275,620.0,Tech Equip.
999999,2013-03-31 00:00:00,all,0.01671863346077828,0.015538743567163848,0.01589309823359951,5980.0,
502050,2015-12-31 00:00:00,all,0.013125681335013574,0.012329497253656462,0.012742245200817971,370.0,Ind. Services
302020,2015-12-31 00:00:00,all,0.019944580249328908,0.011779819593206927,0.01291295665058691,430.0,Finance Services
201030,2015-12-31 00:00:00,all,0.008320246764040291,0.007636243834414348,0.008080937026040123,500.0,Pharma-Biotech
552010,2015-12-31 00:00:00,all,0.03158408657586313,0.023286725229684016,0.023750797073170512,510.0,Chem
351020,2015-12-31 00:00:00,all,0.012558653467946337,0.012911765750246166,0.014379260391043406,260.0,REIT
502060,2015-12-31 00:00:00,all,0.010791758965449023,0.008829244091923897,0.009374819318813583,450.0,Ind. Transport
502030,2015-12-31 00:00:00,all,0.018253659621585767,0.015796436047974233,0.015883021342270133,220.0,Industrials
301010,2015-12-31 00:00:00,all,0.004134020340802985,0.005548290469408612,0.005798303863365061,2200.0,Banks
601010,2015-12-31 00:00:00,all,0.022427958290861322,0.016364394407414665,0.015168115649942046,1040.0,Energy
101010,2015-12-31 00:00:00,all,0.012293868624187998,0.01126687797398727,0.011748282215327189,360.0,Software and Comp Serv
501010,2015-12-31 00:00:00,all,0.019749143273470618,0.01925422480473827,0.02054381718684685,430.0,Construction
201020,2015-12-31 00:00:00,all,0.011520300810950517,0.008813229431028751,0.008905892441260766,290.0,Medical
401010,2015-12-31 00:00:00,all,0.03311871081460331,0.021032642952298362,0.02148104708886405,370.0,Auto
101020,2015-12-31 00:00:00,all,0.02123262406629613,0.015550022408870812,0.016384454945756112,670.0,Tech Equip.
