icb_code,101010,101010,101020,101020,201020,201020,201030,201030,301010,301010,302020,302020,351020,351020,401010,401010,501010,501010,502030,502030,502050,502050,502060,502060,552010,552010,601010,601010,651010,651010,999999,999999
importance_type,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split,gain,split
gross_margin,106204.25881460108,18963.0,129829.71081189737,24895.0,24213.57998453045,5995.0,122427.73998670449,21742.0,0.0,0.0,6011.594526708592,1520.0,19865.015418054074,3803.0,84844.54867207089,19357.0,43731.18957137711,9958.0,38726.58555081829,10145.0,84958.37238457434,19353.0,109790.99714201434,22416.0,105392.08906369578,25399.0,77035.48450565686,17192.0,45638.81832171755,9899.0,1194547.1361581157,208909.0
cap_adequacy_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236485.78653766913,41361.0,32938.27343782845,10182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.118213875219,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebitda_to_ev,74893.98542914007,13324.0,182126.142528355,30631.0,32293.673015039243,7968.0,80215.60444625189,13770.0,89040.60014303034,19118.0,106606.64319421715,27118.0,109412.61917590261,22879.0,53577.19963292199,14226.0,31127.186324325576,8287.0,158517.9665660303,24084.0,150262.13276534865,24299.0,102258.9167975481,22699.0,108474.88894129441,23605.0,105923.79159198132,23210.0,96737.88156101113,16841.0,891800.1513745964,147851.0
cash_ratio,63481.304968325036,12964.0,88881.97111149936,18826.0,20020.11530981934,5547.0,113674.2144185917,20567.0,0.0,0.0,33576.1351045958,7282.0,4922.367335803166,1244.0,49158.541199734485,13845.0,89978.63760627608,16890.0,39687.75928714661,10500.0,73488.28468713864,18489.0,54752.22981043765,13028.0,109603.77943932006,25593.0,58921.45303063015,14380.0,34125.17598627267,7971.0,917321.8735521425,177095.0
interest_to_earnings,53785.05053341328,11846.0,87711.31779372215,20528.0,49438.174073524824,10603.0,114058.89757937485,22169.0,134182.38781879866,26063.0,104715.31395347603,28122.0,69322.01027921612,16491.0,58348.86392454612,17080.0,52861.37182529977,13606.0,83715.51117965025,17245.0,95864.39505360504,20573.0,97810.29680589175,19970.0,117002.71053777108,27792.0,71986.7837118681,17646.0,131617.03378358978,17821.0,946364.0262161227,176656.0
div_payout,45994.15669840557,9333.0,117685.05346562849,22404.0,20524.9039743559,4284.0,84848.52880364994,15714.0,197421.11398036496,40192.0,101232.43231185712,27902.0,119933.87499294197,25302.0,79356.93628452662,16579.0,41070.23493149999,9560.0,70295.49474436037,15268.0,53021.84400525602,11831.0,133896.07928835982,22238.0,102985.77490869835,22635.0,69651.23441895815,16481.0,132563.79519607715,16688.0,867985.468361379,149651.0
capex_to_dda,55674.77018500876,11826.0,100282.91366829128,23024.0,31063.790549956637,8356.0,74529.02091087535,16036.0,241033.790899936,34354.0,90123.04150325524,26407.0,84423.61231802563,21037.0,35877.82226285191,11429.0,38644.10269978274,8684.0,64401.003161437184,15868.0,83516.20435092082,19548.0,116616.39359524389,25138.0,159883.0265377837,30991.0,84860.60551155439,19958.0,57550.84089861611,12302.0,710156.1454104573,146716.0
fa_turnover,79838.15273965111,14477.0,88978.90201944542,19452.0,21844.524748002128,5940.0,103156.9878383955,20323.0,277968.235487603,51596.0,129481.16703323807,35521.0,114335.10230401912,26788.0,53623.18120267549,13300.0,57351.26671297091,11087.0,65084.559661646934,13071.0,61489.603835344846,14040.0,67376.55758825995,15375.0,95611.25627012445,23783.0,71725.81821471473,16370.0,49392.28929134924,10375.0,1381780.717594744,202568.0
