,train_valid,valid_test
all,0.5774276651200813,0.6644103431334257
20130630_651010,0.01844772039726644,0.3354096680078115
20130630_502050,0.1944264199884632,0.41599683352197875
20130630_302020,0.45590974884011726,0.2663347407264982
20130630_201030,-0.08393789889534752,0.22763484887088828
20130630_552010,0.2738450106425956,-0.029078046035424236
20130630_351020,-0.20670571370733754,-0.1439885006572296
20130630_502060,-0.09311734097365423,0.009256714898194133
20130630_502030,-0.24233817927887535,-0.13944097380493828
20130630_301010,0.2801221359734299,0.31675905578605995
20130630_601010,0.12291065888173595,0.20703857241621484
20130630_101010,0.07133902590088692,0.30527430522264826
20130630_501010,0.07537906874435053,0.44715351073657295
20130630_201020,-0.006060632504743196,0.4172562330674702
20130630_401010,-0.27774505635050845,0.3808180354784179
20130630_101020,0.08345526512098558,0.22778117049322938
20181231_651010,-0.00787376794460388,0.17519557289229182
20181231_502050,-0.01333739297913619,0.15498097392354301
20181231_302020,0.14467794368370854,0.3637891890657399
20181231_201030,0.010096272638132444,0.13705902739307718
20181231_552010,0.06805828209786402,0.16534551878670506
20181231_351020,-0.0002125808314200219,0.3025789040723098
20181231_502060,0.11358287539754397,0.20751221439650394
20181231_502030,0.23847001973810528,0.18577748412701064
20181231_301010,0.06887911295064698,0.40454195376763774
20181231_601010,0.33025820007313045,0.4146059493717408
20181231_101010,-0.4237087733273844,0.15533418311754452
20181231_501010,0.2318676079867534,0.46557352314164485
20181231_201020,0.09145097255626065,0.3219736674527317
20181231_401010,0.16693318085239459,0.10438755424866064
20181231_101020,0.3898412517918137,0.47247524802389307
20150331_651010,,
20150331_502050,0.5106464393982963,0.5467710028403177
20150331_302020,0.7184177206888862,0.3745971879882565
20150331_201030,-0.09887591126838802,0.28118741007782055
20150331_552010,-0.0877703850505188,0.12512880048846978
20150331_351020,-0.06996131544616761,0.15342891245885154
20150331_502060,0.4039752836608359,0.2986601428133922
20150331_502030,-0.03233523375052453,-0.1375779975280442
20150331_301010,0.3234558480284194,0.36246852371551636
20150331_601010,0.11486411338980014,-0.23079310188863536
20150331_101010,-0.11018114589952281,0.16051446273505016
20150331_501010,0.11280747880393657,0.2883734931145909
20150331_201020,-0.20295205973305042,0.18817819376161013
20150331_401010,0.20530262581290873,0.43356170161789415
20150331_101020,0.06298229748389163,0.27539688138955093
20170630_651010,-0.3516477816762808,-0.02392604891984389
20170630_502050,-0.08601142434527988,0.14101079430061636
20170630_302020,0.6386540029210843,0.7426680861860543
20170630_201030,-0.1551483604320517,0.07931236468876482
20170630_552010,-0.09010869493010858,-0.11124566019962712
20170630_351020,-0.22504972342134155,-0.04100395754245151
20170630_502060,0.2867930945778445,0.2682791251190167
20170630_502030,0.4882121692911402,0.418176301903108
20170630_301010,0.2599197552208621,0.45992090276041137
20170630_601010,0.5660129913605266,0.7429847338439539
20170630_101010,-0.014785001672927792,0.21200963297568914
20170630_501010,0.04826781783152642,-0.13326064678054805
20170630_201020,0.02818685980820353,0.04015672766797096
20170630_401010,-0.3780433730661453,-0.018185957469110326
20170630_101020,0.18242505971807188,-0.04852595165021963
20180331_651010,0.25721590727551297,0.339153353291151
20180331_502050,-0.04659712410428293,0.11122670549278525
20180331_302020,0.7247379523008654,-0.3300490001232733
20180331_201030,-0.3031495210514439,-0.1395892324630601
20180331_552010,-0.08913126793861503,0.2389929823331502
20180331_351020,-0.052103005403422796,0.04824185644882336
20180331_502060,0.1910639291455941,0.22751832465370028
20180331_502030,0.1714920182450938,-0.2497599845963193
20180331_301010,0.3859443258033016,0.2190932075143004
20180331_601010,0.6570655005795832,-0.08716986701357435
20180331_101010,0.0030520436529553377,0.34439268937505996
20180331_501010,0.04463353916760123,0.15231430151632755
20180331_201020,0.1546083855141017,0.5549308901530058
20180331_401010,0.0583270807513838,-0.07434270103609121
20180331_101020,0.39093612808467004,0.2560858640733601
20150930_651010,-0.17611785060194277,-0.09522695997319552
20150930_502050,-0.019124412759706354,-0.03857798253554375
20150930_302020,0.36884688976386476,0.3239244114261993
20150930_201030,-0.017665517049167325,0.24086523750936822
20150930_552010,-0.03126111561529516,0.31058969183350804
20150930_351020,0.3483861804281915,0.498178650580275
20150930_502060,-0.055255833437696134,0.1564324615793041
20150930_502030,0.7185199183831659,0.6973627409458637
20150930_301010,0.507624542264426,-0.3189938237698613
20150930_601010,0.5433868242351272,0.5268192814725008
20150930_101010,0.08348442885775625,0.17295738860758683
20150930_501010,-0.04862404388657163,0.03406965218328636
20150930_201020,,
20150930_401010,-0.2690819971824999,0.30311779062399535
20150930_101020,0.4927059048340004,0.5690415279918057
20170331_651010,0.08633471342419369,0.3548439986441658
20170331_502050,-0.028273621380863593,-0.11222387998758887
20170331_302020,0.418465439532268,0.5656198446189843
20170331_201030,0.03470948811038372,0.38527261936579793
20170331_552010,0.5732628377962665,0.5906708255001248
20170331_351020,0.012106363885388475,0.09754107810417535
20170331_502060,0.38475165041563353,0.3871270272447081
20170331_502030,0.2603949604571607,0.25057782952324703
20170331_301010,0.3250959391504339,0.6988318130489662
20170331_601010,0.4038613998339079,0.5272448164354344
20170331_101010,0.41127557145657956,0.3018299575566582
20170331_501010,0.06514956567257249,0.37505808194560064
20170331_201020,-0.34714783085277884,0.03514498306875016
20170331_401010,0.2126379438906241,0.5103184650453026
20170331_101020,0.5346037418531999,0.3460590047310481
20140331_651010,0.07516358433708166,-0.45681984690096644
20140331_502050,0.1773173720595109,-0.5194892459879714
20140331_302020,0.20774312385076954,0.33490788755074846
20140331_201030,-0.3369828534897236,-0.18265617493996336
20140331_552010,0.16360358929160795,0.5872803428085746
20140331_351020,-0.1301432114974552,0.4349892013989907
20140331_502060,0.36617482478907637,0.5815881350362962
20140331_502030,0.24706845557210214,0.12159653202194093
20140331_301010,0.3379287519740245,0.5096641081256007
20140331_601010,0.6708542259480477,0.47103760828817837
20140331_101010,-0.14316401454504385,0.10724372146700535
20140331_501010,-0.017683053837757385,0.1574030315964472
20140331_201020,,
20140331_401010,0.04727234793398922,0.3770074914036713
20140331_101020,0.4326009648802443,0.6781320749365686
20131231_651010,0.07483630553509793,0.15711942408772345
20131231_502050,-0.3889408553795692,-0.0840192015574309
20131231_302020,0.49673625999391147,0.6178379257622362
20131231_201030,-0.3159235734177389,0.015908321159053884
20131231_552010,-0.2670729473355639,0.12855870352270302
20131231_351020,-0.025350544095549227,0.36004418298420526
20131231_502060,0.37033408352341396,0.046207352314600096
20131231_502030,-0.11507728700539067,-0.04780272483013278
20131231_301010,0.42289379474479416,0.36126002081462105
20131231_601010,0.3045574213193053,0.293074732381854
20131231_101010,-0.2890115847028051,-0.3265478955247449
20131231_501010,-0.14376755639562575,0.19347329319098264
20131231_201020,-0.08241883129024313,0.25224101057512427
20131231_401010,-0.138508304934493,0.3928089500727517
20131231_101020,0.2977381151048869,0.4405103001991714
20160331_651010,-0.2139048405769975,0.24847028133272403
20160331_502050,-0.10503679975105078,0.18027528121204603
20160331_302020,0.5743587884159287,0.6972036668940383
20160331_201030,-0.17921145759129256,0.11382550307164507
20160331_552010,0.08174098221745055,0.15646417383662606
20160331_351020,0.09496390156348589,0.2311410195616706
20160331_502060,0.3281403818992665,0.4273762184635025
20160331_502030,0.2625461480665146,0.30418137989891153
20160331_301010,0.03379122425918785,0.04142344333858618
20160331_601010,0.5808717282378362,0.6926364081233379
20160331_101010,-0.19657538496555144,0.045796297676582366
20160331_501010,-0.12458337412108646,-0.01421280485283509
20160331_201020,-0.3104397689417705,0.06919420193905337
20160331_401010,0.14381384627635194,-0.006477654338931908
20160331_101020,-0.04542287771618803,0.536943313741165
20180930_651010,-0.008722904326791923,-0.044793701214728456
20180930_502050,-0.101381418065555,0.023026012456271196
20180930_302020,0.589892139313791,0.4990069132268476
20180930_201030,-0.06222992010405594,0.1609865176005105
20180930_552010,0.6115860002290413,0.7835810292139128
20180930_351020,-0.3989511397484685,-0.21352675916319183
20180930_502060,-0.09506725588776532,0.015961730739145332
20180930_502030,0.002902454179760337,0.2635872288975572
20180930_301010,0.30926428014095003,0.5096894400970824
20180930_601010,-0.08596742030899797,0.26093124276782304
20180930_101010,0.4332890126466986,0.6065554067990979
20180930_501010,0.02874840028215597,-0.050115388121691896
20180930_201020,0.08039926349751614,0.24328903733505336
20180930_401010,,
20180930_101020,0.336583336697225,0.4985578711821897
20180630_651010,0.3331284769935435,0.28956129097016076
20180630_502050,0.43136857683107843,0.5082714268153163
20180630_302020,0.43755210076728335,-0.4263117520030166
20180630_201030,0.005274036481298445,0.2051612119057757
20180630_552010,0.2670013181117847,0.3854159090973655
20180630_351020,0.19177438290253385,0.11963505201449816
20180630_502060,0.564389906669918,0.4874611737422216
20180630_502030,0.1738966773714552,0.30810369937881
20180630_301010,0.11815653558054116,0.18311043211018554
20180630_601010,0.5455996485736089,0.6459114539053553
20180630_101010,-0.4628108577387052,-0.18006716652593388
20180630_501010,0.24467873711563448,0.2541171299699206
20180630_201020,-0.07991758059107666,0.13730465201839076
20180630_401010,-0.25769984932629303,0.054854136185278735
20180630_101020,-0.1518808273755866,0.015352267487147178
20160930_651010,0.2057566302961368,0.34050607798527727
20160930_502050,-0.195701103721572,0.08703397846648075
20160930_302020,0.6022422051878331,0.6363607076687685
20160930_201030,-0.30424595751686206,-0.04113065850481772
20160930_552010,0.26761239298992484,0.3576378759714904
20160930_351020,0.5465578335550703,0.48040592293278295
20160930_502060,0.37621260829558684,0.12617484966003653
20160930_502030,-0.07831460511599195,0.21684333108028767
20160930_301010,0.35623644508996766,0.6584728418984058
20160930_601010,0.5223942345673096,0.6876511549658316
20160930_101010,0.07561159311509627,0.20571414307946007
20160930_501010,0.24552175713948954,0.41404931399352196
20160930_201020,0.05341588210689258,0.29273723667827917
20160930_401010,0.008170547359029567,0.10224610556014363
20160930_101020,0.6274920031028165,0.6854212560026195
20130331_651010,0.44934785060384574,0.48698155944359967
20130331_502050,0.3158113251632101,0.21620581684502604
20130331_302020,0.09940370393213936,0.30441463971400473
20130331_201030,-0.01633317259329537,-0.08046087965751145
20130331_552010,-0.039902364674982156,0.20150687667392758
20130331_351020,0.0685524315120929,-0.09734999928548117
20130331_502060,0.2536279624372504,0.35117207358091773
20130331_502030,0.3352729734906037,0.3672320182325212
20130331_301010,0.2978465399070116,0.2163559198561212
20130331_601010,-0.06597224358444184,-0.2732299586036105
20130331_101010,-0.26991939782738295,0.05835688660057692
20130331_501010,-0.007112951349169466,0.11523030599251557
20130331_201020,-0.22775381628441516,-0.15399818406431415
20130331_401010,-0.04952390759957022,0.037138883425480704
20130331_101020,0.13255264973845607,0.32168249193471554
20141231_651010,-0.14912300131704115,0.2676913418382084
20141231_502050,-0.19626772041302715,-0.0823728066001555
20141231_302020,0.35685283292341075,0.47785427607115155
20141231_201030,-0.34162409607630656,-0.0638229980508638
20141231_552010,0.5554148345157722,0.5828743998076231
20141231_351020,0.2647543975292592,0.4430773788126638
20141231_502060,,
20141231_502030,0.3618980913927612,0.2463005609973349
20141231_301010,0.12668271900241482,0.05051361393659011
20141231_601010,0.6371991885563022,0.38064410488117817
20141231_101010,-0.3984622047091139,-0.27568731461626106
20141231_501010,0.1772282909195232,0.6457853195863482
20141231_201020,-0.08672039213204343,0.11628341808956562
20141231_401010,-0.25268096966636616,-0.15069771474086197
20141231_101020,0.2880702407574642,0.5076827467829063
20151231_651010,,
20151231_502050,0.006891770563532806,-0.22823485708761165
20151231_302020,0.5052784096518661,0.5853556625845107
20151231_201030,0.08072453846034176,0.29298296465542045
20151231_552010,0.0925032335570128,0.5399356728721355
20151231_351020,0.35864188955440734,0.43734199107926897
20151231_502060,0.09157036919098281,0.24006324532830772
20151231_502030,0.10041171124101753,0.2549536998376956
20151231_301010,0.670642314169029,0.6425526817737581
20151231_601010,0.11609057289512119,0.4205905478289583
20151231_101010,-0.09735010136065897,0.037003680844964124
20151231_501010,-0.4573891608026683,0.10955804791459463
20151231_201020,-0.014507061804237576,0.263127918015305
20151231_401010,-0.5248260927563526,0.034210401070363966
20151231_101020,-0.3281364189668657,-0.000887108285955356
20140630_651010,-0.14006395504890046,-0.08937310020252011
20140630_502050,-0.325827217302505,-0.30355716101235813
20140630_302020,0.561220374573629,0.6832151236485908
20140630_201030,0.046119591306108376,0.07642253022085962
20140630_552010,0.2634980125237158,0.5557363280744022
20140630_351020,0.2809392980488276,0.4110704555242541
20140630_502060,-0.14436863331319044,0.011490612615083693
20140630_502030,0.13626945383692252,-0.3169669314095695
20140630_301010,0.547454481746789,0.028749856243721603
20140630_601010,0.05999082812259514,-0.09986206083236537
20140630_101010,-0.31499169658969317,-0.0736967873699805
20140630_501010,-0.34201460705721676,0.04318136799404851
20140630_201020,,
20140630_401010,-0.40151871243496784,0.1229770037954015
20140630_101020,0.1421256115473834,0.36938994432415184
20160630_651010,0.3705626831821497,0.35254621615614035
20160630_502050,-0.34566427331463845,-0.1464640823535273
20160630_302020,0.29459672528202846,0.32709459302689536
20160630_201030,0.21251380889360186,0.5920204325828182
20160630_552010,0.1203661158949101,0.3471036539510281
20160630_351020,-0.3549264654279714,-0.05408314013876522
20160630_502060,0.1668671766710528,0.13779915611958282
20160630_502030,0.04251130985806622,0.42571266983647055
20160630_301010,-0.05770461891552553,0.16899447345524252
20160630_601010,0.6502187541052495,0.6932355110371387
20160630_101010,-0.14313881918864518,0.020745517018829922
20160630_501010,0.4929216062008282,0.5944077557024454
20160630_201020,,
20160630_401010,-0.035202016693763154,0.25319181959957726
20160630_101020,-0.0983622778186808,0.02637785647255387
20150630_651010,0.03339219597513829,-0.03511496249526703
20150630_502050,-0.16030462948767987,0.27253560313618436
20150630_302020,0.5050379481095274,0.5102515432670959
20150630_201030,0.05862741265632743,0.20215604761136252
20150630_552010,-0.131640215759764,0.3730299525107128
20150630_351020,-0.1627737411385772,-0.05313285529954472
20150630_502060,-0.14511323085463085,-0.030653630237683152
