,train_valid,valid_test,>0,>0.5,,
20130930_502030,0.439055352,0.375865285,TRUE,FALSE,,
20170331_501010,0.065149566,0.375058082,TRUE,FALSE,,
20150331_302020,0.718417721,0.374597188,TRUE,FALSE,,
20150630_552010,-0.131640216,0.373029953,TRUE,FALSE,,
20130930_401010,0.05911658,0.371975354,TRUE,FALSE,,
20140630_101020,0.142125612,0.369389944,TRUE,FALSE,,
20130331_502030,0.335272973,0.367232018,TRUE,FALSE,,
20140930_302020,0.20269142,0.365167939,TRUE,FALSE,,
20181231_302020,0.144677944,0.363789189,TRUE,FALSE,,
20190331_502030,0.002889417,0.362524194,TRUE,FALSE,,
20150331_301010,0.323455848,0.362468524,TRUE,FALSE,,
20131231_301010,0.422893795,0.361260021,TRUE,FALSE,,
20131231_351020,-0.025350544,0.360044183,TRUE,FALSE,,
20160930_552010,0.267612393,0.357637876,TRUE,FALSE,,
20170331_651010,0.086334713,0.354843999,TRUE,FALSE,,
20160630_651010,0.370562683,0.352546216,TRUE,FALSE,,
20130331_502060,0.253627962,0.351172074,TRUE,FALSE,,
20140930_101020,0.046291824,0.350889525,TRUE,FALSE,,
20160630_552010,0.120366116,0.347103654,TRUE,FALSE,,
20170331_101020,0.534603742,0.346059005,TRUE,FALSE,,
20180331_101010,0.003052044,0.344392689,TRUE,FALSE,,
20190331_302020,0.061309428,0.343964041,TRUE,FALSE,,
20130930_351020,0.147318597,0.341861326,TRUE,FALSE,,
20160930_651010,0.20575663,0.340506078,TRUE,FALSE,,
20180331_651010,0.257215907,0.339153353,TRUE,FALSE,,
20140930_651010,-0.080261236,0.336046705,TRUE,FALSE,,
20130630_651010,0.01844772,0.335409668,TRUE,FALSE,,
20140331_302020,0.207743124,0.334907888,TRUE,FALSE,,
20190331_401010,-0.220849507,0.333823363,TRUE,FALSE,,
20171231_351020,0.066606808,0.333800492,TRUE,FALSE,,
20161231_502060,0.337790923,0.32928999,TRUE,FALSE,,
20160630_302020,0.294596725,0.327094593,TRUE,FALSE,,
20190331_351020,0.060109773,0.325331466,TRUE,FALSE,,
20150930_302020,0.36884689,0.323924411,TRUE,FALSE,,
20181231_201020,0.091450973,0.321973667,TRUE,FALSE,,
20130331_101020,0.13255265,0.321682492,TRUE,FALSE,,
20130630_301010,0.280122136,0.316759056,TRUE,FALSE,,
20150930_552010,-0.031261116,0.310589692,TRUE,FALSE,,
20180630_502030,0.173896677,0.308103699,TRUE,FALSE,,
20130630_101010,0.071339026,0.305274305,TRUE,FALSE,,
20130331_302020,0.099403704,0.30441464,TRUE,FALSE,,
20160331_502030,0.262546148,0.30418138,TRUE,FALSE,,
20150930_401010,-0.269081997,0.303117791,TRUE,FALSE,,
20181231_351020,-0.000212581,0.302578904,TRUE,FALSE,,
20170331_101010,0.411275571,0.301829958,TRUE,FALSE,,
20161231_502050,-0.261090236,0.300079816,TRUE,FALSE,,
20150331_502060,0.403975284,0.298660143,TRUE,FALSE,,
20140930_502030,0.177835089,0.297783237,TRUE,FALSE,,
20131231_601010,0.304557421,0.293074732,TRUE,FALSE,,
20151231_201030,0.080724538,0.292982965,TRUE,FALSE,,
20160930_201020,0.053415882,0.292737237,TRUE,FALSE,,
20180630_651010,0.333128477,0.289561291,TRUE,FALSE,,
20150331_501010,0.112807479,0.288373493,TRUE,FALSE,,
20170930_301010,0.199173673,0.282761205,TRUE,FALSE,,
20140930_501010,-0.006688521,0.281990044,TRUE,FALSE,,
20150331_201030,-0.098875911,0.28118741,TRUE,FALSE,,
20150331_101020,0.062982297,0.275396881,TRUE,FALSE,,
20161231_501010,0.01210541,0.275085814,TRUE,FALSE,,
20150630_101010,-0.270084796,0.273748591,TRUE,FALSE,,
20150630_502050,-0.160304629,0.272535603,TRUE,FALSE,,
20170630_502060,0.286793095,0.268279125,TRUE,FALSE,,
20141231_651010,-0.149123001,0.267691342,TRUE,FALSE,,
20130630_302020,0.455909749,0.266334741,TRUE,FALSE,,
20170930_501010,0.239915422,0.265375542,TRUE,FALSE,,
20180930_502030,0.002902454,0.263587229,TRUE,FALSE,,
20151231_201020,-0.014507062,0.263127918,TRUE,FALSE,,
20180930_601010,-0.08596742,0.260931243,TRUE,FALSE,,
20171231_302020,0.528260763,0.259085157,TRUE,FALSE,,
20180331_101020,0.390936128,0.256085864,TRUE,FALSE,,
20151231_502030,0.100411711,0.2549537,TRUE,FALSE,,
20180630_501010,0.244678737,0.25411713,TRUE,FALSE,,
20150630_601010,0.40247262,0.25409724,TRUE,FALSE,,
20160630_401010,-0.035202017,0.25319182,TRUE,FALSE,,
20131231_201020,-0.082418831,0.252241011,TRUE,FALSE,,
20170331_502030,0.26039496,0.25057783,TRUE,FALSE,,
20160331_651010,-0.213904841,0.248470281,TRUE,FALSE,,
20141231_502030,0.361898091,0.246300561,TRUE,FALSE,,
20150630_502030,0.059232113,0.246164411,TRUE,FALSE,,
20180930_201020,0.080399263,0.243289037,TRUE,FALSE,,
20130930_502060,0.226745568,0.242989634,TRUE,FALSE,,
20150930_201030,-0.017665517,0.240865238,TRUE,FALSE,,
20151231_502060,0.091570369,0.240063245,TRUE,FALSE,,
20180331_552010,-0.089131268,0.238992982,TRUE,FALSE,,
20170930_552010,-0.081324763,0.238448483,TRUE,FALSE,,
20130930_201030,-0.237050972,0.236777474,TRUE,FALSE,,
20170930_101020,-0.07615139,0.232823588,TRUE,FALSE,,
20171231_651010,0.11126318,0.232572668,TRUE,FALSE,,
20160331_351020,0.094963902,0.23114102,TRUE,FALSE,,
20130630_101020,0.083455265,0.22778117,TRUE,FALSE,,
20130630_201030,-0.083937899,0.227634849,TRUE,FALSE,,
20180331_502060,0.191063929,0.227518325,TRUE,FALSE,,
20180331_301010,0.385944326,0.219093208,TRUE,FALSE,,
20160930_502030,-0.078314605,0.216843331,TRUE,FALSE,,
20130331_301010,0.29784654,0.21635592,TRUE,FALSE,,
20130331_502050,0.315811325,0.216205817,TRUE,FALSE,,
20170630_101010,-0.014785002,0.212009633,TRUE,FALSE,,
20161231_201030,-0.135296105,0.210717917,TRUE,FALSE,,
20181231_502060,0.113582875,0.207512214,TRUE,FALSE,,
20130630_601010,0.122910659,0.207038572,TRUE,FALSE,,
20160930_101010,0.075611593,0.205714143,TRUE,FALSE,,
20180630_201030,0.005274036,0.205161212,TRUE,FALSE,,
20150630_201030,0.058627413,0.202156048,TRUE,FALSE,,
20130331_552010,-0.039902365,0.201506877,TRUE,FALSE,,
20140930_601010,0.235824169,0.196736741,TRUE,FALSE,,
20131231_501010,-0.143767556,0.193473293,TRUE,FALSE,,
20150331_201020,-0.20295206,0.188178194,TRUE,FALSE,,
20171231_601010,-0.0929283,0.187113335,TRUE,FALSE,,
20181231_502030,0.23847002,0.185777484,TRUE,FALSE,,
20180630_301010,0.118156536,0.183110432,TRUE,FALSE,,
20190331_101020,0.318064742,0.182021707,TRUE,FALSE,,
20170930_502060,0.216139355,0.180950051,TRUE,FALSE,,
20160331_502050,-0.1050368,0.180275281,TRUE,FALSE,,
20130930_651010,-0.089696785,0.179060308,TRUE,FALSE,,
20181231_651010,-0.007873768,0.175195573,TRUE,FALSE,,
20150630_201020,-0.083093408,0.175023855,TRUE,FALSE,,
20150930_101010,0.083484429,0.172957389,TRUE,FALSE,,
20160630_301010,-0.057704619,0.168994473,TRUE,FALSE,,
20181231_552010,0.068058282,0.165345519,TRUE,FALSE,,
20180930_201030,-0.06222992,0.160986518,TRUE,FALSE,,
20150331_101010,-0.110181146,0.160514463,TRUE,FALSE,,
20190331_201020,-0.088143606,0.16020739,TRUE,FALSE,,
20161231_401010,-0.341867939,0.159910127,TRUE,FALSE,,
20140331_501010,-0.017683054,0.157403032,TRUE,FALSE,,
20131231_651010,0.074836306,0.157119424,TRUE,FALSE,,
20160331_552010,0.081740982,0.156464174,TRUE,FALSE,,
20150930_502060,-0.055255833,0.156432462,TRUE,FALSE,,
20140930_502060,0.238441956,0.155612448,TRUE,FALSE,,
20181231_101010,-0.423708773,0.155334183,TRUE,FALSE,,
20181231_502050,-0.013337393,0.154980974,TRUE,FALSE,,
20150331_351020,-0.069961315,0.153428912,TRUE,FALSE,,
20180331_501010,0.044633539,0.152314302,TRUE,FALSE,,
20190331_301010,0.532992044,0.150344665,TRUE,FALSE,,
20140930_401010,-0.172394516,0.145904425,TRUE,FALSE,,
20171231_552010,0.495210427,0.145627416,TRUE,FALSE,,
20130930_501010,-0.160359583,0.141434534,TRUE,FALSE,,
20170630_502050,-0.086011424,0.141010794,TRUE,FALSE,,
20160630_502060,0.166867177,0.137799156,TRUE,FALSE,,
20180630_201020,-0.079917581,0.137304652,TRUE,FALSE,,
20181231_201030,0.010096273,0.137059027,TRUE,FALSE,,
20131231_552010,-0.267072947,0.128558704,TRUE,FALSE,,
20190331_101010,-0.12713124,0.126682277,TRUE,FALSE,,
20160930_502060,0.376212608,0.12617485,TRUE,FALSE,,
20150331_552010,-0.087770385,0.1251288,TRUE,FALSE,,
20140630_401010,-0.401518712,0.122977004,TRUE,FALSE,,
20140331_502030,0.247068456,0.121596532,TRUE,FALSE,,
20180630_351020,0.191774383,0.119635052,TRUE,FALSE,,
20141231_201020,-0.086720392,0.116283418,TRUE,FALSE,,
20130331_501010,-0.007112951,0.115230306,TRUE,FALSE,,
20160331_201030,-0.179211458,0.113825503,TRUE,FALSE,,
20180331_502050,-0.046597124,0.111226705,TRUE,FALSE,,
20151231_501010,-0.457389161,0.109558048,TRUE,FALSE,,
20140331_101010,-0.143164015,0.107243721,TRUE,FALSE,,
20170930_502050,-0.092296928,0.106099319,TRUE,FALSE,,
20181231_401010,0.166933181,0.104387554,TRUE,FALSE,,
20160930_401010,0.008170547,0.102246106,TRUE,FALSE,,
20170331_351020,0.012106364,0.097541078,TRUE,FALSE,,
20130930_302020,0.314039934,0.0905037,TRUE,FALSE,,
20171231_101010,-0.239480931,0.089091437,TRUE,FALSE,,
20161231_101020,-0.09375025,0.088970958,TRUE,FALSE,,
20160930_502050,-0.195701104,0.087033978,TRUE,FALSE,,
20150630_501010,-0.040291766,0.081647849,TRUE,FALSE,,
20170630_201030,-0.15514836,0.079312365,TRUE,FALSE,,
20140630_201030,0.046119591,0.07642253,TRUE,FALSE,,
20190331_502050,0.017468105,0.07272151,TRUE,FALSE,,
20160331_201020,-0.310439769,0.069194202,TRUE,FALSE,,
20190331_201030,-0.132327188,0.065203022,TRUE,FALSE,,
20130331_101010,-0.269919398,0.058356887,TRUE,FALSE,,
20180630_401010,-0.257699849,0.054854136,TRUE,FALSE,,
20141231_301010,0.126682719,0.050513614,TRUE,FALSE,,
20180331_351020,-0.052103005,0.048241856,TRUE,FALSE,,
20131231_502060,0.370334084,0.046207352,TRUE,FALSE,,
20160331_101010,-0.196575385,0.045796298,TRUE,FALSE,,
20140630_501010,-0.342014607,0.043181368,TRUE,FALSE,,
20160331_301010,0.033791224,0.041423443,TRUE,FALSE,,
20170630_201020,0.02818686,0.040156728,TRUE,FALSE,,
20150630_401010,-0.287798536,0.03993159,TRUE,FALSE,,
20130331_401010,-0.049523908,0.037138883,TRUE,FALSE,,
20151231_101010,-0.097350101,0.037003681,TRUE,FALSE,,
20170331_201020,-0.347147831,0.035144983,TRUE,FALSE,,
20151231_401010,-0.524826093,0.034210401,TRUE,FALSE,,
20150930_501010,-0.048624044,0.034069652,TRUE,FALSE,,
20161231_302020,0.806321432,0.031596825,TRUE,FALSE,,
20140930_101010,-0.041963939,0.030112193,TRUE,FALSE,,
20140630_301010,0.547454482,0.028749856,TRUE,FALSE,,
20130930_552010,0.433487428,0.026536809,TRUE,FALSE,,
20160630_101020,-0.098362278,0.026377856,TRUE,FALSE,,
20180930_502050,-0.101381418,0.023026012,TRUE,FALSE,,
20160630_101010,-0.143138819,0.020745517,TRUE,FALSE,,
20180930_502060,-0.095067256,0.015961731,TRUE,FALSE,,
20131231_201030,-0.315923573,0.015908321,TRUE,FALSE,,
20180630_101020,-0.151880827,0.015352267,TRUE,FALSE,,
20140630_502060,-0.144368633,0.011490613,TRUE,FALSE,,
20130630_502060,-0.093117341,0.009256715,TRUE,FALSE,,
20170930_201030,-0.193684865,0.005915747,TRUE,FALSE,,
20151231_101020,-0.328136419,-0.000887108,FALSE,FALSE,,
20170930_401010,-0.236788669,-0.00605012,FALSE,FALSE,,
20160331_401010,0.143813846,-0.006477654,FALSE,FALSE,,
20161231_101010,-0.233998684,-0.013473396,FALSE,FALSE,,
20160331_501010,-0.124583374,-0.014212805,FALSE,FALSE,,
20170630_401010,-0.378043373,-0.018185957,FALSE,FALSE,,
20170630_651010,-0.351647782,-0.023926049,FALSE,FALSE,,
20130630_552010,0.273845011,-0.029078046,FALSE,FALSE,,
20150630_502060,-0.145113231,-0.03065363,FALSE,FALSE,,
20150630_651010,0.033392196,-0.035114962,FALSE,FALSE,,
20171231_502050,-0.208030253,-0.03580474,FALSE,FALSE,,
20150930_502050,-0.019124413,-0.038577983,FALSE,FALSE,,
20170630_351020,-0.225049723,-0.041003958,FALSE,FALSE,,
20160930_201030,-0.304245958,-0.041130659,FALSE,FALSE,,
20180930_651010,-0.008722904,-0.044793701,FALSE,FALSE,,
20131231_502030,-0.115077287,-0.047802725,FALSE,FALSE,,
20170630_101020,0.18242506,-0.048525952,FALSE,FALSE,,
20180930_501010,0.0287484,-0.050115388,FALSE,FALSE,,
20150630_351020,-0.162773741,-0.053132855,FALSE,FALSE,,
20160630_351020,-0.354926465,-0.05408314,FALSE,FALSE,,
20141231_201030,-0.341624096,-0.063822998,FALSE,FALSE,,
20130930_502050,-0.008138157,-0.065641839,FALSE,FALSE,,
20170930_351020,-0.130140962,-0.069143567,FALSE,FALSE,,
20171231_401010,-0.215949694,-0.070304554,FALSE,FALSE,,
20140630_101010,-0.314991697,-0.073696787,FALSE,FALSE,,
